_LATE_SUBMITTED_FP17,_COMMISSIONER_NAME,_COMMISSIONER_CODE,_UDA_DELIVERED,_BAND_3_DELIVERED,_UDA_DELIVERED_FD,_LATEST_PPC_ADDRESS_POSTCODE,YEAR_MONTH,_UDA_PERF_TARGET,_PROVIDER_NAME,_GENERAL_DENTAL_FIN_VALUE,_BAND_1_DELIVERED,_UDA_FIN_VAL,_CHILD_12M_COUNT,_LSOA11_CODE,_BAND_URGENT_DELIVERED,_CONTRACT_NUMBER,_BAND_OTHER_DELIVERED,_BAND_2_DELIVERED,_ADULT_24M_COUNT
0,North West London AT,Q62,5013.4,155,0,UB1 1SQ,201906,64941,Whitehouse Dental Practice Ltd,1866667.35,914,1866667.35,5756,E01001361,447,1122080001,12,564,17633
0,North East London AT,Q61,675,30,0,N6 4ER,201906,7614,R Patel and Partners,365590.27,130,365590.27,216,E01002011,16,9045620001,16,49,1928
0,North East London AT,Q61,1927,41,0,RM13 9AB,201906,25759,Raydens Dental Surgery,606679.89,484,606679.89,2070,E01002345,140,3067110001,12,257,7477
0,South London AT,Q63,367,11,0,SE5 0DL,201906,7500,Camberdent Ltd,241024.61,86,241024.61,241,E01003921,1,1257680001,13,45,2028
0,Greater Manchester AT,Q46,1083.8,31,0,M40 9DJ,201906,12668,Khan and Akhyar,386019.86,164,386019.86,767,E01005225,38,5712610001,13,159,2958
1,Greater Manchester AT,Q46,3124.6,69,443.6,M24 6DL,201906,39616,"Chandy, Whittingham & Casserley",1218400.34,1195,1218400.34,3453,E01005524,223,1029030001,12,271,11989
0,Greater Manchester AT,Q46,2102.2,45,94.6,SK6 4HT,201906,34502,Mr L Donaghy,854661.94,706,854661.94,2066,E01005904,91,1734010001,24,245,9604
6,Greater Manchester AT,Q46,3500.6,51,0,OL6 6HD,201906,43279,"Wallace, Thomas, Hobson & Emmett Ltd",1474501.64,1407,1474501.64,3988,E01005948,208,1998930001,12,402,11877
1,Greater Manchester AT,Q46,1972.6,31,0,M33 4EE,201906,29210,Seedat & Ahmed,739153.06,907,739153.06,2470,E01006100,48,2453720006,13,205,7760
1,Greater Manchester AT,Q46,2653.2,55,0,WN1 1HX,201906,40268,G.k.A (1996) Ltd,1323027.43,641,1323027.43,2337,E01006369,86,1904700007,16,393,9731
0,Merseyside AT,Q48,2713.8,112,0,L13 0AB,201906,35573,MR SA CHU,939308.49,320,939308.49,1651,E01006604,164,6729710003,14,280,7050
0,Merseyside AT,Q48,3045,67,0,WA10 5PJ,201906,49700,Newtown (no 1) Ltd,1273931.29,1043,1273931.29,2776,E01006880,100,1319380001,12,353,10989
0,Merseyside AT,Q48,3031.4,53,195.6,PR9 0PA,201906,36616,Hoghton Street Dental Care Limited,1216485.3,1127,1216485.3,1877,E01006968,127,1459630001,22,366,10290
1,Merseyside AT,Q48,2181.8,86,0,L20 3EF,201906,24721,Ventre & Ventre Limited,806492.69,420,806492.69,1516,E01007009,104,1652390001,14,191,5172
1,"Cheshire, Warrington and Wirral AT",Q44,1090.8,18,0,CH41 6AZ,201906,12706,Hamilton Square Dental Partnership,356944.81,295,356944.81,684,E01007126,54,3214860001,13,171,3475
0,"Cheshire, Warrington and Wirral AT",Q44,3195.2,78,0,CH44 1BA,201906,40962,Martins Lane Dental Practice,1299644.83,462,1299644.83,3026,E01007219,175,1611520001,19,519,10844
1,"Cheshire, Warrington and Wirral AT",Q44,1222.4,37,0,CH46 0PA,201906,27138,Daws & Saunders,809983.32,288,809983.32,1204,E01007225,42,3086410001,14,146,6567
