_LATE_SUBMITTED_FP17,_COMMISSIONER_NAME,_COMMISSIONER_CODE,_UDA_DELIVERED,_BAND_3_DELIVERED,_UDA_DELIVERED_FD,_LATEST_PPC_ADDRESS_POSTCODE,YEAR_MONTH,_UDA_PERF_TARGET,_PROVIDER_NAME,_GENERAL_DENTAL_FIN_VALUE,_BAND_1_DELIVERED,_UDA_FIN_VAL,_CHILD_12M_COUNT,_LSOA11_CODE,_BAND_URGENT_DELIVERED,_CONTRACT_NUMBER,_BAND_OTHER_DELIVERED,_BAND_2_DELIVERED,_ADULT_24M_COUNT
0,North West London AT,Q62,1921.2,84,0,NW10 2NX,201905,22527,Dr Dipak Shah and Dr Kushal Shah,692042.51,154,692042.51,975,E01000640,106,3220080001,15,202,4609
0,North East London AT,Q61,3340,111,0,RM12 5LH,201905,33835,Kamran Madjidzadeh Aval,983913.59,751,983913.59,2400,E01002262,135,9366850001,14,353,9996
0,North East London AT,Q61,1887.4,25,0,RM13 9AB,201905,25759,Raydens Dental Surgery,606679.89,559,606679.89,2089,E01002345,147,3067110001,17,279,7479
0,Greater Manchester AT,Q46,1973.4,29,0,BL2 6PA,201905,26084,Dr Gordon & Dr Wild Partnership,788269.13,788,788269.13,2184,E01004796,77,1682700001,14,240,6764
0,Greater Manchester AT,Q46,2397.6,56,100.2,SK6 4HT,201905,34502,Mr L Donaghy,854661.94,763,854661.94,2092,E01005904,123,1734010001,16,269,9672
1,Greater Manchester AT,Q46,2006.2,24,0,WN6 0JT,201905,23132,G.k.A (1996) Ltd,703015.38,799,703015.38,1715,E01006229,36,1904700005,14,270,6625
2,Greater Manchester AT,Q46,2977.2,61,0,WN1 1HX,201905,40268,G.k.A (1996) Ltd,1323027.43,695,1323027.43,2325,E01006369,131,1904700007,14,442,9777
0,Greater Manchester AT,Q46,3121.6,90,0,WN1 1XP,201905,39318,Florence House Dental Practice Partnership,1145564.76,856,1145564.76,2363,E01006370,108,1266400001,16,343,10070
0,Merseyside AT,Q48,2281.6,69,225.2,L11 1EL,201905,34080,Muirhead Dental Practice,899896.5,483,899896.5,2585,E01006625,113,1498610001,13,270,8386
1,Merseyside AT,Q48,3092.6,112,0,L6 3AF,201905,34500,Sheil Road Dental Practice,955740.72,581,955740.72,2127,E01006695,157,1909690001,15,319,8679
0,Merseyside AT,Q48,1896.2,57,0,L4 3RL,201905,22467,Hale Road Dental Practice Limited,593240.57,314,614240.57,1680,E01006698,151,1846320001,16,230,6061
0,Merseyside AT,Q48,2521.8,71,0,L19 2LW,201905,25360,Morris & Partners,669630.16,414,669630.16,1695,E01006745,124,1824190001,14,357,6613
0,Merseyside AT,Q48,2162.6,37,0,WA10 2JL,201905,42000,The Corner Dental Surgery Ltd,1096532.57,636,1096532.57,2106,E01006877,128,1488060001,14,306,8698
0,Merseyside AT,Q48,2968.8,49,239.8,PR9 0PA,201905,36616,Hoghton Street Dental Care Limited,1216485.3,1157,1216485.3,1868,E01006968,159,1459630001,21,336,10327
0,"Cheshire, Warrington and Wirral AT",Q44,3346,71,0,CH44 1BA,201905,40962,Martins Lane Dental Practice,1299644.83,515,1299644.83,3029,E01007219,175,1611520001,20,583,10866
0,"Cheshire, Warrington and Wirral AT",Q44,1354,26,0,CH49 6JY,201905,23980,Upton Dental Practice Limited,716236.68,325,716236.68,1428,E01007298,90,1355500001,18,194,5824
0,South Yorkshire and Bassetlaw AT,Q51,1580.8,37,0,DN1 2EX,201905,23003,Hislop and Wolverson,679662.5,429,679662.5,1334,E01007648,74,1422550001,13,203,5399
0,South Yorkshire and Bassetlaw AT,Q51,2435.8,30,174.2,S25 2EX,201905,45179,High Green & Dinnington Dental Practices,1506439.34,901,1506439.34,3157,E01007790,164,1537370003,14,307,11952
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,975,12,0,NE3 1DH,201905,13848,"Robert Andrew Michael Davidson, Rebecca Peta Sadler and Cath",419600.86,386,419600.86,1034,E01008419,20,6611550001,14,139,3520
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,3562.2,96,0,NE6 1SD,201905,52238,Whitecross Dental Care Limited,1384101.4,925,1384101.4,3545,E01008429,161,1447700001,15,422,14154
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,4494,105,0,NE12 6YT,201905,58286,The Killingworth Dental Practice Partnership,1672448.17,1124,1672448.17,3784,E01008504,200,1266240001,48,602,14095
1,"Cumbria, Northumberland, Tyne and Wear AT",Q49,5331.6,130,115.8,NE33 2LX,201905,83974,South Tyneside Smiles Limited,2316773.54,1337,2316773.54,4829,E01008667,199,1766480001,17,712,18363
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,4330,82,159.2,NE34 6AL,201905,71215,SRDP,2038977.3,1213,2038977.3,4848,E01008668,200,1700110001,21,606,18752
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,4891.4,116,0,SR1 1QH,201905,86878,Silver and Charlton,2440948.45,1346,2440948.45,4412,E01008703,247,1508860001,26,603,19879
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,2230.8,49,113.8,DH5 0JN,201905,32937,Amit Nayyar,909707.7,475,909707.7,2650,E01008754,149,2206390001,17,324,10002
2,Birmingham and The Black Country AT,Q54,9347,339,181.4,B64 5HJ,201905,97227,"Balbir S Bhandal, Amrik S Bhandal & Baljit S Bhandal",2998380.11,865,2998380.11,3688,E01009953,196,6386330020,17,1388,19864
7,Birmingham and The Black Country AT,Q54,3553.4,85,184.8,B70 9LB,201905,37779,"The Dental Practice (Drs J.S Kainth, Partners & Associates)",938692.23,775,938692.23,4397,E01010106,219,2142990002,16,497,10575
0,Birmingham and The Black Country AT,Q54,2950.2,88,0,WV2 3DN,201905,33459,Dudley Road Dental Practice,912213.5,506,912213.5,2733,E01010428,81,1002670000,13,421,7510
1,West Yorkshire AT,Q52,2814.6,46,0,BD21 2AU,201905,44534,OASIS DENTAL CARE LTD,1298905.26,1255,1298905.26,3259,E01010710,88,1012810016,13,293,10271
0,West Yorkshire AT,Q52,1249.6,16,0,HX2 9HD,201905,17700,Whitehill House Dental Practice,550852.93,444,550852.93,1345,E01010916,113,2302000001,13,155,4640
