YEAR_MONTH, COMMISSIONER_CODE, COMMISSIONER_NAME, CONTRACT_NUMBER, PROVIDER_NAME, LATEST_PPC_ADDRESS_POSTCODE, LSOA11_CODE, UDA_PERF_TARGET, UDA_FIN_VAL, UDA_DELIVERED, LATE_SUBMITTED_FP17, UDA_DELIVERED_FD, BAND_1_DELIVERED, BAND_2_DELIVERED, BAND_3_DELIVERED, BAND_URGENT_DELIVERED, BAND_OTHER_DELIVERED, CHILD_12M_COUNT, ADULT_24M_COUNT, GENERAL_DENTAL_FIN_VALUE
202004,"QYG","Cheshire and Merseyside ICB",1000080000,"Raby Road Dental Centre","CH64 9UZ","E01018534",19145,573803.72,,,,,,,,,1249,5163,573803.72
202004,"QMM","Norfolk and Waveney ICB",1000100000,"Jinesh Vaghela, Jiten Vaghela and K Patel","NR19 1DR","E01026426",11500,293017.79,,,,,,,,,575,3606,293017.79
202004,"QNX","Sussex ICB",1000120000,"Ruta Lagunaite","RH2 9BZ","E01030623",5009,139961.07,0,0,0,0,0,0,0,13,381,889,139961.07
202004,"QJG","Suffolk and North East Essex ICB",1000210000,"Mr S Shah, Mr P Vaid & Mr S Radia","CO15 3BW","E01021968",1000,29210,,,,,,,,,753,3380,29210
202004,"QUY","Bristol, North Somerset and South Gloucestershire ICB",1000260000,"The Dental Clinic, Portishead","BS20 6EH","E01032681",1359,37276.78,,,,,,,,,316,135,37276.78
202004,"QSL","Somerset ICB",1000310000,"Mr RK Hughes","BA5 1SU","E01029081",2268,55939.91,,,,,,,,,269,529,55939.91
202004,"QSL","Somerset ICB",1000320000,"Mr RK Hughes","BA5 1SU","E01029081",850,18428.9,,,,,,,,,123,284,18428.9
202004,"QNC","Staffordshire and Stoke-on-Trent ICB",1000340000,"Whitecross Dental Care Limited","WS15 2BZ","E01029404",16000,416599.08,1,0,0,1,0,0,0,0,957,4373,416599.08
202004,"QUE","Cambridgeshire and Peterborough ICB",1000360000,"Church Street Dental Practice","PE28 3EG","E01018198",4029,105581.21,4,0,0,4,0,0,0,0,510,1465,105581.21
202004,"QM7","Hertfordshire and West Essex ICB",1000390000,"Damira Dental Studios Ltd","CM23 3AL","E01023446",10255,273141.17,,,,,,,,,980,3176,273141.17
202004,"QPM","Northamptonshire ICB",1000410000,"2:30 Ltd","NN17 1RZ","E01026949",31550,934738.5,,,,,,,,,2560,8772,934738.5
202004,"QM7","Hertfordshire and West Essex ICB",1000520000,"Chigwell Dental Practice","IG7 5PZ","E01021765",9244,309324.12,,,,,,,,,626,2607,309324.12
202004,"QNX","Sussex ICB",1000610000,"MISS AR PATEL","BN21 4LL","E01020935",1800,49895.66,,,,,,,,,564,86,49895.66
202004,"QT1","Nottingham and Nottinghamshire ICB",1000620000,"McDaid & McDaid","NG9 5BA","E01028096",15050,420359.51,,,,,,,,,1133,3298,420359.51
202004,"QSL","Somerset ICB",1000710000,"Yarde House Partnership","TA1 1DB","E01029289",2600,67502.35,,,,,,,,,421,460,67502.35
202004,"QT6","Cornwall and the Isles Of Scilly ICB",1000730000,"Spadental South West Limited","PL12 6AF","E01018793",19116,524954.13,,,,,,,,,1346,4760,524954.13
202004,"QT6","Cornwall and the Isles Of Scilly ICB",1000760000,"Hayle Dental Practice Partnership","TR27 4BT","E01018982",1557,43058.1,2.4,0,0,0,0,0,2,0,532,124,43058.1
202004,"QHG","Bedfordshire, Luton and Milton Keynes ICB",1000790000,"Rodericks Dental Partnership Ltd","MK40 1NN","E01017469",25000,669019.39,14.2,0,0,1,0,1,1,0,1552,7443,669019.39
202004,"QUY","Bristol, North Somerset and South Gloucestershire ICB",1000800000,"Monika Molnar","BS25 1JF","E01014742",1200,29002.29,,,,,,,,,443,61,29002.29
202004,"QHG","Bedfordshire, Luton and Milton Keynes ICB",1000810000,"Rodericks Dental Partnership Ltd","LU1 2AL","E01015794",25000,654160.89,,,,,,,,,1544,6048,654160.89
202004,"QHG","Bedfordshire, Luton and Milton Keynes ICB",1000820000,"Rodericks Dental Partnership Ltd","LU3 2NJ","E01015785",14000,372922.26,,,,,,,,,1406,2967,372922.26
202004,"QT6","Cornwall and the Isles Of Scilly ICB",1000830000,"PCH Dental CIC","TR18 3PE","E01018997",10946,315619.9,,,,,,,,,320,1613,315619.9
202004,"QUA","Black Country ICB",1000850000,"Broadway Dental Suite","B18 7BA","E01009141",11239,370455.9,0,0,0,0,0,0,0,0,560,2586,370455.9
202004,"QRL","Hampshire and Isle Of Wight ICB",1000890000,"Hilsea Dental Care Ltd","PO2 9HE","E01017087",17002,398876.51,,,,,,,,,1021,3775,398876.51
202004,"QYG","Cheshire and Merseyside ICB",1000960000,"Care (Lancashire) Ltd","L20 3EF","E01007009",24000,656658.32,,,,,,,,,1094,3840,656658.32
202004,"QT1","Nottingham and Nottinghamshire ICB",1001010000,"Brookview Dental Care","LE12 6JG","E01028387",1000,30833.72,,,,,,,,,185,183,30833.72
202004,"QT1","Nottingham and Nottinghamshire ICB",1001030000,"Dr H S Thiara, Mrs R K Mattu","NG5 7ED","E01028209",7997,287143.25,,,,,,,,,354,1787,287143.25
202004,"QOQ","Humber and North Yorkshire ICB",1001050000,"Dental Logic Limited","HU10 7AA","E01013117",8624,218819.56,,,,,,,,,710,3292,218819.56
202004,"QT1","Nottingham and Nottinghamshire ICB",1001090000,"Whitecross Dental Care Limited","LE12 6PG","E01028389",20000,525288.97,13,0,0,4,3,0,0,0,1409,5379,525288.97
202004,"QWO","West Yorkshire ICB",1001110000,"Bodental Practice","BD23 1RU","E01027577",670,17407.62,,,,,,,,,75,25,17407.62
202004,"QYG","Cheshire and Merseyside ICB",1001220000,"The Old Surgery Dental Practice Ltd","CW1 5EQ","E01018501",3300,184632.42,,,,,,,,,3,325,184632.42
