YEAR_MONTH,COMMISSIONER_CODE,COMMISSIONER_NAME,CONTRACT_NUMBER,PROVIDER_NAME,LATEST_PPC_ADDRESS_POSTCODE,LSOA11_CODE,UDA_PERF_TARGET,UDA_FIN_VAL,UDA_DELIVERED,LATE_SUBMITTED_FP17,UDA_DELIVERED_FD,BAND_1_DELIVERED,"BAND_2A_DELIVERED ",BAND_2B_DELIVERED,BAND_2C_DELIVERED,BAND_3_DELIVERED,BAND_URGENT_DELIVERED,BAND_OTHER_DELIVERED,CHILD_12M_COUNT,ADULT_24M_COUNT,GENERAL_DENTAL_FIN_VALUE
202401,QYG,Cheshire and Merseyside ICB,1000080000,Raby Road Dental Centre,CH64 9UZ,E01018534,19145,662069.82,2282.8,0,89.2,575,211,81,5,43,84,9,1318,5261,662069.82
202401,QMM,Norfolk and Waveney ICB,1000100000,"Jinesh Vaghela, Jiten Vaghela and K Patel",NR19 1DR,E01026426,10720,338091.64,,,,,,,,,,,,543,338091.64
202401,QXU,Surrey Heartlands ICB,1000120000,Ruta Lagunaite,RH2 9BZ,E01030623,5009,161490.76,476,0,0,155,44,15,0,7,25,0,514,977,161490.76
202401,QJG,Suffolk and North East Essex ICB,1000210000,"Mr S Shah, Mr P Vaid & Mr S Radia",CO15 3BW,E01021968,15000,480848.93,1814.6,0,0,476,166,39,0,41,128,0,208,625,480848.93
202401,QUY,"Bristol, North Somerset and South Gloucestershire ICB",1000260000,"The Dental Clinic, Portishead",BS20 6EH,E01032681,1359,43010.92,138.4,0,0,39,7,14,0,0,7,0,330,83,43010.92
202401,QSL,Somerset ICB,1000320000,Mr RK Hughes,BA5 1SU,E01029081,850,21529.17,52.8,0,0,42,2,0,0,0,4,0,390,64,21529.17
202401,QNC,Staffordshire and Stoke-on-Trent ICB,1000340000,Whitecross Dental Care Limited,WS15 2BZ,E01029404,16000,480682.98,431.4,0,0,117,51,3,0,10,22,1,475,1743,480682.98
202401,QUE,Cambridgeshire and Peterborough ICB,1000360000,Church Street Dental Practice,PE28 3EG,E01018198,4029,121822.37,355.6,0,0,164,27,3,2,5,18,0,391,1136,121822.37
202401,QM7,Hertfordshire and West Essex ICB,1000390000,Damira Dental Studios Ltd,CM23 3AL,E01023446,10255,315157.47,725.2,0,0,400,57,9,0,5,41,0,1827,3103,315157.47
202401,QPM,Northamptonshire ICB,1000410000,2:30 Ltd,NN17 1RZ,E01026949,34466,1170342.52,2556,1,0,773,165,183,2,19,110,0,2761,6696,1078525.86
